"longitude","latitude","attack_type","location_description","nearest_country","eez_country","shore_distance","shore_longitude","shore_latitude","attack_description","vessel_name","vessel_type","vessel_status","data_source"
117.1383,-0.5401667,"Boarded","Samarinda Anchorage, Indonesia","IDN","IDN",33.7476211480701,117.281504754,-0.809177341999941,NA,"Toyo",NA,NA,"mappingpiracy"
112.7235,-7.2038333,"Boarded","Wharf 108, Surabaya, Indonesia","IDN","IDN",1.9559885139787,112.7295028,-7.22047291499996,NA,"Bass Reefer",NA,NA,"mappingpiracy"
117.6167,0.0333333,"Boarded","Indonesia (Documented coordinates 2:00.0N/117:37.0E locates in a forested area. Recoded due N to 2:00.54N in the waterway nearby)","IDN","IDN",10.9064987977152,117.523448113,0.0030785180000521,NA,"Bonny",NA,NA,"mappingpiracy"
105.9333,-6.0166667,"Boarded","Indonesia","IDN","IDN",3.29416797658478,105.957041863,-5.99871184699992,NA,"Caroline Oldendorff",NA,NA,"mappingpiracy"
105.9535,-6.0081667,"Boarded","Cigading Port, Indonesia","IDN","IDN",1.11669170030363,105.957041863,-5.99871184699992,NA,"Torben Spirit",NA,NA,"mappingpiracy"
104.679,1.5505,"Boarded","Horsburg Lighthouse, Singapore Straits","IDN","MYS",37.740562986147,104.575694207,1.22540924700007,NA,"Essberger Pioneer",NA,NA,"mappingpiracy"
104.679,1.5505,"Boarded","Horsburg Lighthouse, Singapore Straits","IDN","MYS",37.740562986147,104.575694207,1.22540924700007,NA,"C. Tahsin",NA,NA,"mappingpiracy"
112.7235,-7.2038333,"Boarded","Container Pier, Surabaya, Indonesia","IDN","IDN",1.9559885139787,112.7295028,-7.22047291499996,NA,"Estebrugge",NA,NA,"mappingpiracy"
112.7235,-7.2038333,"Boarded","Inner Anchorage, Surabaya, Indonesia","IDN","IDN",1.9559885139787,112.7295028,-7.22047291499996,NA,"Reestborg",NA,NA,"mappingpiracy"
107.3,-3,"Boarded","Indonesia","IDN","IDN",12.890010611222,107.398453587,-2.93842794799991,NA,"Windward",NA,NA,"mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta Roads, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Melgar",NA,NA,"mappingpiracy"
107.2917,-3.025,"Boarded","Indonesia","IDN","IDN",15.2474420149724,107.398453587,-2.93842794799991,NA,"Dove Arrow",NA,NA,"mappingpiracy"
104.5833,1.4,"Boarded","Indonesia","IDN","IDN",19.3238955979983,104.575694207,1.22540924700007,NA,"Yaya",NA,NA,"mappingpiracy"
106.8833,-5.9731667,"Attempted","3.7nm from Breakwater, Jakarta, Indonesia","IDN","IDN",13.2457924125027,106.99903405,-6.00351327899995,NA,"Fortunate Star",NA,NA,"mappingpiracy"
107.3,-2.8666667,"Boarded","Indonesia","IDN","IDN",5.10502569243237,107.341292226,-2.88685845099991,NA,"Essverger Pioneer",NA,NA,"mappingpiracy"
107.2833,-2.9333333,"Boarded","Indonesia","IDN","IDN",8.2449258695412,107.341292226,-2.88685845099991,NA,"Continental Spirit",NA,NA,"mappingpiracy"
107.2667,-2.8666667,"Boarded","Indonesia","IDN","IDN",8.58847417622927,107.341292226,-2.88685845099991,NA,"Eagle Tide",NA,NA,"mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta Anchorage, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Anro Australia",NA,NA,"mappingpiracy"
112.6867,-7.1766667,"Boarding","Inner Anchorage Surabaya Port, Indonesia","IDN","IDN",0.370637819758171,112.683848504,-7.17489999799994,NA,"Bunga Kerayong",NA,NA,"mappingpiracy"
98.6767,3.7766667,"Boarding","Belawan Port, Indonesia","IDN","IDN",4.81519041886713,98.710622592,3.80377838700008,NA,"Troianu",NA,"Anchored","mappingpiracy"
98.7983,3.98,"Boarding","Belawan Anchorage, Indonesia","IDN","IDN",15.3296737096737,98.6766198010001,3.91454693300005,NA,"Captain George II",NA,"Anchored","mappingpiracy"
106.875,-6.0886667,"Boarding","Jakarta Anchorage, 3.5 M OFF Indonesia","IDN","IDN",4.4075418078632,106.837738477,-6.10271575299993,NA,"Darya Chand",NA,"Anchored","mappingpiracy"
98.6767,3.7766667,"Boarding","Belawan Roads, Belawan Indonesia","IDN","IDN",4.81519041886713,98.710622592,3.80377838700008,NA,"Kapetan Elias",NA,NA,"mappingpiracy"
116.7967,-1.2766667,"Boarding","Balik Papan Anchorage, Kalimantan, Indonesia","IDN","IDN",1.98723301594146,116.779063347,-1.27385833099993,NA,"Bunga Kerayong",NA,"Anchored","mappingpiracy"
105.9467,-6.0083333,"Boarding","Anyer Inner Anchorage, Indonesia","IDN","IDN",1.56303448282771,105.957041863,-5.99871184699992,NA,"LPG Norgas Traveller",NA,"Anchored","mappingpiracy"
106.15,-6.0666667,"Boarding","Jakarta Port, Indonesia","IDN","IDN",6.39934913085049,106.1591903,-6.00953541499996,NA,"Bunga Melor Satu",NA,"Anchored","mappingpiracy"
117.2833,-1,"Boarding","Samarinda Anchorage, Kalimantan, Indonesia","IDN","IDN",9.92311807982744,117.235118035,-0.924493096999925,NA,"Navigatore - D",NA,"Anchored","mappingpiracy"
112.7,-7.1833333,"Boarding","Surabaya Roads, Inner Anchorage, Indonesia","IDN","IDN",2.01305836616448,112.683848504,-7.17489999799994,NA,"Reestborg",NA,NA,"mappingpiracy"
112.0667,-7.1456667,"Boarding","Surabaya, Indonesia","IDN","IDN",26.3496598022213,112.106944207,-6.91082122199992,NA,"Calatang",NA,"Anchored","mappingpiracy"
107.35,-2.7,"Attempted","Gelasa Straits, Indonesia","IDN","IDN",17.1634809571092,107.425791863,-2.83521900799991,NA,"Konkar Pioneer",NA,"Steaming","mappingpiracy"
117.25,-1.0416667,"Boarding","Muara Jawa anchorage, Samarinda, Indonesia","IDN","IDN",11.6523242555516,117.163910352,-0.98170338299991,NA,"Arctic Trader",NA,"Anchored","mappingpiracy"
104.75,-2.9765,"Boarding","River Passage, Palembang, Indonesia","IDN","IDN",32.9228834616528,104.547211134,-2.75953541499996,NA,"Hafetzah",NA,"Steaming","mappingpiracy"
106.875,-6.0886667,"Boarding","Berth 115, Tanjung Priok, Indonesia","IDN","IDN",4.4075418078632,106.837738477,-6.10271575299993,NA,"Bass Reefer",NA,"Berthed","mappingpiracy"
105.9167,-6.0433333,"Boarding","Anyer Inner Anchorage, Indonesia","IDN","IDN",4.3885641319027,105.887868686,-6.07057057099991,NA,"LPG/C Prins Philips Willem",NA,"Anchored","mappingpiracy"
112.7467,-7.1885,"Boarding","Berth405, Surabaya port, Indonesia","IDN","IDN",1.85210183144935,112.7451278,-7.20517343499995,NA,"Zervos",NA,"Berthed","mappingpiracy"
104.75,-2.9765,"Boarding","Plaju, Palembang River, Sumatera, Indonesia","IDN","IDN",32.9228834616528,104.547211134,-2.75953541499996,NA,"Hafetzah",NA,NA,"mappingpiracy"
106.875,-6.0886667,"Attempted","Outer Roads, Jakarta Anchorage, Indonesia","IDN","IDN",4.4075418078632,106.837738477,-6.10271575299993,NA,"Kassos",NA,"Anchored","mappingpiracy"
104.9167,-2.8033333,"Boarding","Palembang River, Indonesia","IDN","IDN",31.2546718665834,104.731455925,-2.59075286299992,NA,"Petro Concord",NA,"Steaming","mappingpiracy"
101.7333,2.1666667,"Attempted","Malacca Straits","IDN","IDN",8.58697662823424,101.681651238,2.10895416900007,NA,"General Monarch",NA,"Steaming","mappingpiracy"
115.8583,-5.0166667,"Attempted","Java Sea, Indonesia","IDN","IDN",22.284861192386,115.806813998,-4.82187265399995,NA,"ICL Rajarajan",NA,"Steaming","mappingpiracy"
104.9167,-2.3,"Boarding","Palembang River, Indonesia","IDN","IDN",1.66020658359903,104.908702019,-2.31267669099992,NA,"Trans Hercules",NA,"Steaming","mappingpiracy"
105.1667,-5.4666667,"Boarding","Panjang road, Indonesia","IDN","IDN",8.92725001874063,105.246348504,-5.47877369599991,NA,"Gotze Delchev",NA,"Anchored","mappingpiracy"
107.85,6.9,"Attempted","South China Sea","IDN","VNM",235.912703429221,108.005137566,4.77236562700006,NA,"British Esk",NA,"Steaming","mappingpiracy"
108.0833,0.75,"Boarding","Indonesia","IDN","IDN",60.8316649466218,107.601573113,1.00983307500007,NA,"Essberger Pilot",NA,"Steaming","mappingpiracy"
119.4,-5.133333333,"Boarding","Alongside Pandang, Indonesia","IDN","IDN",1.09666635312608,119.403656446,-5.12411874799994,NA,"Atoyak",NA,NA,"mappingpiracy"
107.3167,-2.97,"Boarding","Indonesia","IDN","IDN",9.24768266959392,107.36924703,-2.90516898099992,NA,"Charisma",NA,"Steaming","mappingpiracy"
98.7,4.65,"Boarding","Straits of Malacca","IDN","IDN",53.2499961765816,98.2755639980001,4.42536041900007,NA,"Kota Barlian",NA,"Steaming","mappingpiracy"
118.2061,-2.1352,"Boarding","Macassar Straits, Indonesia","IDN","IDN",86.2882940592687,118.806162957,-2.62981536299992,NA,"Ivory Ace",NA,"Steaming","mappingpiracy"
107.215,-4.5116667,"Boarding","Indonesia","IDN","IDN",144.935676282532,105.909434441,-4.54664478999996,NA,"Stolt Emerald",NA,"Steaming","mappingpiracy"
105.999,1.0186667,"Boarding","South of Singapore","IDN","IDN",127.665193420424,104.852793816,0.975490627000056,NA,"Scan Eagle",NA,NA,"mappingpiracy"
116.7667,-1.4433333,"Boarding","Lawi Lawi, Indonesia","IDN","IDN",8.20303519695963,116.739756707,-1.37428150799991,NA,"Stena Concert",NA,"Anchored","mappingpiracy"
117.25,-1.0383333,"Boarding","Maura Jawa, Indonesia","IDN","IDN",11.4466067443505,117.163910352,-0.98170338299991,NA,"Pearl Prosperity",NA,"Anchored","mappingpiracy"
106.875,-6.0886667,"Boarding","Tanjung Priok, Jakarta, Indonesia","IDN","IDN",4.4075418078632,106.837738477,-6.10271575299993,NA,"Tacora",NA,"Anchored","mappingpiracy"
116.66,-1.6916667,"Boarding","Adang bay Anchorage, East Kalimantan, Indonesia","IDN","IDN",14.814038467592,116.55746504,-1.60621510199991,NA,"Magnus Stove",NA,"Anchored","mappingpiracy"
112.7235,-7.2038333,"Boarded","Surabaya, Indonesia","IDN","IDN",1.9559885139787,112.7295028,-7.22047291499996,NA,"Juntha Sarunpak",NA,"Anchored","mappingpiracy"
112.7235,-7.2038333,"Boarded","Surabaya, Indonesia","IDN","IDN",1.9559885139787,112.7295028,-7.22047291499996,NA,"Celje",NA,"Anchored","mappingpiracy"
106.9025,-6.0976667,"Boarded","Tanjung Priok, Indonesia","IDN","IDN",7.19038121922267,106.837738477,-6.10271575299993,NA,"Heug-a-Strait",NA,"Anchored","mappingpiracy"
112.7235,-7.2038333,"Boarded","Surabaya, Indonesia","IDN","IDN",1.9559885139787,112.7295028,-7.22047291499996,NA,"Botic",NA,"Anchored","mappingpiracy"
105.9193,-6.0418333,"Boarded","Anyer, Indonesia","IDN","IDN",4.71237462504477,105.887868686,-6.07057057099991,NA,"Norgas Pioneer",NA,"Anchored","mappingpiracy"
96.1687,6.7595,"Boarded","Yangon, Burma","IDN","IDN",132.213466632776,95.341807488,5.89642975500004,NA,"Lily",NA,"Anchored","mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta Anchorage, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Equator Crystal",NA,"Anchored","mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta Roads, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Cimbria",NA,"Anchored","mappingpiracy"
104.7218,1.289,"Attempted","Tanjung Pagar, Singapore (Documentation listed incorrectly as Indonesia)","IDN","IDN",16.8426199371449,104.586924675,1.21991608300004,NA,"Dragon Komodo",NA,"Anchored","mappingpiracy"
112.7235,-7.2038333,"Boarded","Surabaya, Indonesia","IDN","IDN",1.9559885139787,112.7295028,-7.22047291499996,NA,"A. Selamat",NA,"Anchored","mappingpiracy"
106.9,-6,"Boarded","Tanjung Priok, Indonesia","IDN","IDN",10.9712743891274,106.99903405,-6.00351327899995,NA,"CHL Innovator",NA,"Anchored","mappingpiracy"
98.7007,3.7836667,"Boarded","Pertamina Citra Jetty, Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Sembawang",NA,"Anchored","mappingpiracy"
112.7235,-7.2038333,"Boarded","Surabaya Inner Anchorage, Indonesia","IDN","IDN",1.9559885139787,112.7295028,-7.22047291499996,NA,"Bunga Melor Dua",NA,"Anchored","mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan Anchorage, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Bunga Tanjung",NA,"Anchored","mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta Anchorage, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Southgate",NA,"Anchored","mappingpiracy"
95.1267,6.0711667,"Attempted","Pulau Rondo, Straits of Malacca (Located island coordinates, point on N shore of island)","IDN","IDN",20.2974145107756,95.214610222,5.91010163000004,NA,"Gotia",NA,"Steaming","mappingpiracy"
104.8322,-2.9922,"Boarded","Plaju Port, Palembang, Indonesia","IDN","IDN",40.8147450745962,104.547211134,-2.75953541499996,NA,"Sari Marina",NA,"Steaming","mappingpiracy"
104.7218,1.289,"Hijacked","OPL Singapore East Anchorage (Coded as Singapore Port)","IDN","IDN",16.8426199371449,104.586924675,1.21991608300004,NA,"Samudra Samrat",NA,"Anchored","mappingpiracy"
116.5165,-8.7838,"Boarded","Tanjung Lelar, Bangka Straits, Indonesia","IDN","IDN",0.661437535123798,116.519403874,-8.77856350199994,NA,"Pan United",NA,"Steaming","mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta Anchorage, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Wana Bhum",NA,"Anchored","mappingpiracy"
117.1383,-0.5401667,"Boarded","Samarinda Anchorage, Indonesia","IDN","IDN",33.7476211480701,117.281504754,-0.809177341999941,NA,"Vista",NA,"Anchored","mappingpiracy"
105.9535,-6.0081667,"Boarded","Cigading, Indonesia","IDN","IDN",1.11669170030363,105.957041863,-5.99871184699992,NA,"You Yi",NA,"Anchored","mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta Bay, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Flaxservice 3",NA,NA,"mappingpiracy"
105.9193,-6.0418333,"Boarded","Anyer, Indonesia","IDN","IDN",4.71237462504477,105.887868686,-6.07057057099991,NA,"Max Planck",NA,"Anchored","mappingpiracy"
109.3579,-0.0179,"Attempted","Selat Bangka, Indonesia","IDN","IDN",7.12230108357368,109.300466342,0.0104841170000896,NA,"Falmast",NA,"Anchored","mappingpiracy"
106.9025,-6.0976667,"Boarded","Tanjung Priok, Jakarta, Indonesia","IDN","IDN",7.19038121922267,106.837738477,-6.10271575299993,NA,"Cheklang",NA,"Anchored","mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Wawasan Murni",NA,"Anchored","mappingpiracy"
117.1383,-0.5401667,"Boarded","Samarinda Anchorage, Indonesia","IDN","IDN",33.7476211480701,117.281504754,-0.809177341999941,NA,"Maritime Mosaic",NA,"Anchored","mappingpiracy"
105.5,3.2166667,"Attempted","South China Sea","IDN","IDN",27.209177108015,105.688731316,3.05996328300006,NA,"Joanna V",NA,"Steaming","mappingpiracy"
106.8867,-6.0338333,"Boarded","T.G. Jakarta, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Dinoussian Strength",NA,"Anchored","mappingpiracy"
105.9922,-5.9531667,"Boarded","Merak, Indonesia","IDN","IDN",3.73727989813835,105.977305535,-5.98349374799994,NA,"Tarquin Navigator",NA,"Anchored","mappingpiracy"
107.25,-2.6667,"Attempted","Gelasa Straits, Indonesia","IDN","IDN",25.5206312957779,107.348488173,-2.87516749299994,NA,"Senho",NA,"Steaming","mappingpiracy"
105.9922,-5.9531667,"Boarded","Merak, Indonesia","IDN","IDN",3.73727989813835,105.977305535,-5.98349374799994,NA,"Bariki",NA,"Anchored","mappingpiracy"
106.9025,-6.0976667,"Boarded","Tanjung Priok, Jakarta, Indonesia","IDN","IDN",7.19038121922267,106.837738477,-6.10271575299993,NA,"Bunga Kesidang",NA,"Anchored","mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Iver Pride",NA,"Anchored","mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Sembawang",NA,"Anchored","mappingpiracy"
117.1383,-0.5401667,"Boarded","Samarinda Anchorage, Indonesia","IDN","IDN",33.7476211480701,117.281504754,-0.809177341999941,NA,"Star Glory",NA,"Anchored","mappingpiracy"
98.7007,3.7836667,"Attempted","Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Bunga Sesumba",NA,"Anchored","mappingpiracy"
105.9922,-5.9531667,"Boarded","Merak Anchorage, Indonesia","IDN","IDN",3.73727989813835,105.977305535,-5.98349374799994,NA,"Stolt Sunrise",NA,"Anchored","mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Osprey Sky",NA,"Anchored","mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Daphne",NA,"Anchored","mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Bunga Cenderawasih",NA,"Anchored","mappingpiracy"
106.553,-5.8214,"Attempted","P. Payung Besar Island, Indonesia","IDN","IDN",20.476212742766,106.549327019,-6.00652434699992,NA,"Awobasan",NA,"Anchored","mappingpiracy"
107.3,-2.85,"Boarded","Indonesia","IDN","IDN",6.06692259090326,107.348488173,-2.87516749299994,NA,"Norgas Energy",NA,"Steaming","mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Leo M",NA,"Berthed","mappingpiracy"
105.3067,-5.4561667,"Boarded","Panjang, Indonesia","IDN","IDN",1.17482779806592,105.310720248,-5.46599700299993,NA,"Sembawang",NA,"Anchored","mappingpiracy"
105.9535,-6.0081667,"Boarded","Cigading Road, Sunda Straits, Indonesia","IDN","IDN",1.11669170030363,105.957041863,-5.99871184699992,NA,"Arktis Force",NA,"Anchored","mappingpiracy"
107.2833,-2.9166667,"Boarded","Off Banka, Indonesia","IDN","IDN",7.24112303921452,107.341292226,-2.88685845099991,NA,"Sun Shine",NA,"Steaming","mappingpiracy"
107.25,-2.6667,"Boarded","Gelasa Straits, Indonesia","IDN","IDN",25.5206312957779,107.348488173,-2.87516749299994,NA,"Om Sunshine",NA,"Steaming","mappingpiracy"
107.3,-2,"Boarded","Gelasa Straits, Indonesia","IDN","IDN",74.5018164211214,107.670258009,-2.56145598799992,NA,"Olga",NA,"Steaming","mappingpiracy"
104.3214,0.875,"Attempted","Riau Straits, Indonesia","IDN","IDN",6.48924872039657,104.266286655,0.855861721000053,NA,NA,NA,NA,"mappingpiracy"
104.051,1.2705,"Hijacked","E of Singapore","IDN","IDN",9.40326346806907,104.030935092,1.18789297100005,NA,"Suci",NA,"Steaming","mappingpiracy"
104.1533,-0.6133333,"Boarded","Indonesia","IDN","IDN",19.0415462445827,104.255869988,-0.475518487999921,NA,"Katong",NA,"Steaming","mappingpiracy"
106.8867,-6.0338333,"Boarded","Jakarta, Indonesia","IDN","IDN",9.34894650321485,106.837738477,-6.10271575299993,NA,"Opal Ray",NA,"Anchored","mappingpiracy"
106.875,-6.0886667,"Boarding","Jakarta Roads, Indonesia","IDN","IDN",4.4075418078632,106.837738477,-6.10271575299993,NA,"Petrobulk Racer",NA,NA,"mappingpiracy"
106.875,-6.0886667,"Boarding","Jakarta Roads, Indonesia","IDN","IDN",4.4075418078632,106.837738477,-6.10271575299993,NA,"Petrobulk Racer",NA,NA,"mappingpiracy"
112.7467,-7.1885,"Boarding","Berlian Wharf, Surabaya, Indonesia","IDN","IDN",1.85210183144935,112.7451278,-7.20517343499995,NA,"Auk Arrow",NA,NA,"mappingpiracy"
112.7467,-7.1885,"Boarding","Surabaya, Indonesia","IDN","IDN",1.85210183144935,112.7451278,-7.20517343499995,NA,"Nandu Arrow",NA,NA,"mappingpiracy"
116.7932,-1.25,"Boarding","Balikpapan, Indonesia","IDN","IDN",0.27769718140065,116.790863477,-1.24911874799994,NA,"Maersk Bovavista",NA,"Anchored","mappingpiracy"
112.7467,-7.1885,"Boarding","Surabaya, Indonesia","IDN","IDN",1.85210183144935,112.7451278,-7.20517343499995,NA,"Siskin Arrow",NA,NA,"mappingpiracy"
105.1667,-5.4666667,"Boarding","Tarahan, Panjang, Indonesia","IDN","IDN",8.92725001874063,105.246348504,-5.47877369599991,NA,"Great Calm",NA,NA,"mappingpiracy"
107.25,-2.6667,"Attempted","Gelasa Straits, Indonesia","IDN","IDN",25.5206312957779,107.348488173,-2.87516749299994,NA,"Kota Hadiah",NA,NA,"mappingpiracy"
107.25,-2.6667,"Boarding","Gelasa Straits, Indonesia","IDN","IDN",25.5206312957779,107.348488173,-2.87516749299994,NA,"Cape Sable",NA,"Steaming","mappingpiracy"
105.95,-6.0166667,"Boarding","Cigading, Indonesia","IDN","IDN",2.13313588584831,105.957041863,-5.99871184699992,NA,"Jewel I",NA,NA,"mappingpiracy"
98.6767,3.7766667,"Boarding","Belawan Port, Indonesia","IDN","IDN",4.81519041886713,98.710622592,3.80377838700008,NA,"Sun Sapphire",NA,"Anchored","mappingpiracy"
116.7932,-1.25,"Boarding","Balikpapan, Indonesia","IDN","IDN",0.27769718140065,116.790863477,-1.24911874799994,NA,"Neptune Gale",NA,"Anchored","mappingpiracy"
104.0517,1.1245,"Boarding","Off Batam Island, Indonesia","IDN","IDN",3.18519400465514,104.070811394,1.14594147300005,NA,"Sinfa",NA,NA,"mappingpiracy"
106.0038,-5.9366667,"Boarding","Merak, Indonesia","IDN","IDN",2.21550975147967,105.997243686,-5.91773853999996,NA,NA,NA,"Steaming","mappingpiracy"
117.538,0.0248333,"Boarding","Tanjun Meranggas, Indonesia","IDN","IDN",2.55101566462184,117.516856316,0.0159365910000702,NA,"Bernadette T.",NA,NA,"mappingpiracy"
117.538,0.0248333,"Boarding","Tg. Meranggas, Indonesia","IDN","IDN",2.55101566462184,117.516856316,0.0159365910000702,NA,"Bernadette T.",NA,NA,"mappingpiracy"
106.9667,-2.8333,"Boarding","Lephlia Strait, Indonesia","IDN","IDN",7.63360358282942,107.017075683,-2.88020599799995,NA,"ACX Lilac",NA,NA,"mappingpiracy"
105.9167,-6.0433333,"Boarding","Anyer, Indonesia","IDN","IDN",4.3885641319027,105.887868686,-6.07057057099991,NA,NA,NA,"Anchored","mappingpiracy"
117.15,-0.5265,"Boarding","Samarinda Anchorage, Indonesia","IDN","IDN",32.4393579694505,117.441416863,-0.525160414999959,NA,"Maritime Light",NA,NA,"mappingpiracy"
106.0038,-5.9366667,"Boarding","Merak, Indonesia","IDN","IDN",2.21550975147967,105.997243686,-5.91773853999996,NA,"Sky Ace",NA,"Anchored","mappingpiracy"
105.95,-6.0166667,"Boarding","Cigading Port, Indonesia","IDN","IDN",2.13313588584831,105.957041863,-5.99871184699992,NA,"Noble Glory",NA,"Anchored","mappingpiracy"
106.875,-6.0886667,"Boarding","Jakarta bay, Indonesia","IDN","IDN",4.4075418078632,106.837738477,-6.10271575299993,NA,NA,NA,NA,"mappingpiracy"
107.25,-2.6667,"Boarding","Gelasa Straits, Indonesia","IDN","IDN",25.5206312957779,107.348488173,-2.87516749299994,NA,"Leira",NA,"Steaming","mappingpiracy"
118.2333,-7.0166667,"Boarding","Indonesia","IDN","IDN",121.723041929309,118.071543816,-8.10540129999993,NA,"OOCL Accord",NA,"Steaming","mappingpiracy"
105.1667,-5.4666667,"Boarding","Tarahan, Panjang, Indonesia","IDN","IDN",8.92725001874063,105.246348504,-5.47877369599991,NA,"Aditya Usha",NA,"Anchored","mappingpiracy"
105.1667,-5.4666667,"Boarding","Panjang anchorage, Indonesia","IDN","IDN",8.92725001874063,105.246348504,-5.47877369599991,NA,"Esperanza Ace",NA,"Anchored","mappingpiracy"
105.1667,-5.4666667,"Boarding","Panjang anchorage, Indonesia","IDN","IDN",8.92725001874063,105.246348504,-5.47877369599991,NA,"Chian Mariner",NA,"Anchored","mappingpiracy"
106.875,-6.0886667,"Boarding","Tanjung Priok, Jakarta, Indonesia","IDN","IDN",4.4075418078632,106.837738477,-6.10271575299993,NA,"Petrobulk Racer",NA,NA,"mappingpiracy"
107.2383,-2.84,"Boarding","Gelasa Straits, Indonesia","IDN","IDN",12.5685704922746,107.341292226,-2.88685845099991,NA,"Orion Gas",NA,"Steaming","mappingpiracy"
106.2837,-2.2665,"Boarding","Bangka Island, Indonesia","IDN","IDN",9.62865004874094,106.264170769,-2.35133228999996,NA,NA,NA,NA,"mappingpiracy"
111.9896,-5.1882,"Boarding","Java Sea, Indonesia","IDN","IDN",93.7652665693374,112.590098504,-5.78557708099993,NA,NA,NA,NA,"mappingpiracy"
107.25,-2.6667,"Boarding","Gelasa Straits, Indonesia","IDN","IDN",25.5206312957779,107.348488173,-2.87516749299994,NA,"Dragon Java",NA,NA,"mappingpiracy"
105.1667,-5.4666667,"Boarding","Panjang, Indonesia","IDN","IDN",8.92725001874063,105.246348504,-5.47877369599991,NA,"Cape Sable",NA,NA,"mappingpiracy"
